순위,곡명,가수,앨범
1,그대 작은 나의 세상이 되어,카더가든,부재
2,Good Goodbye,화사 (HWASA),Good Goodbye
3,사랑하게 될 거야,한로로,이상비행
4,Drowning,WOODZ,OO-LI
5,타임캡슐,다비치,타임캡슐
6,Blue Valentine,NMIXX,Blue Valentine
7,0+0,한로로,자몽살구클럽
8,Golden,HUNTR/X  EJAE  AUDREY NUNA  REI AMI  KPop Demon Hunters Cast,KPop Demon Hunters (Soundtrack from the Netflix Film)
9,SPAGHETTI (feat. j-hope of BTS),LE SSERAFIM (르세라핌)  j-hope,SPAGHETTI
10,ONE MORE TIME,ALLDAY PROJECT,ALLDAY PROJECT
11,멸종위기사랑,이찬혁,EROS
12,어제보다 슬픈 오늘,우디 (Woody),어제보다 슬픈 오늘
13,뛰어(JUMP),BLACKPINK,뛰어(JUMP)
14,NOT CUTE ANYMORE,아일릿(ILLIT),NOT CUTE ANYMORE
15,달리 표현할 수 없어요,로이킴,달리 표현할 수 없어요
16,toxic till the end,로제 (ROSÉ),rosie
17,모르시나요(PROD.로코베리),조째즈,모르시나요
18,하얀 그리움,프로미스나인,하얀 그리움
19,너의 모든 순간,성시경,별에서 온 그대 OST Part.7
20,like JENNIE,제니 (JENNIE),Ruby
21,어떻게 이별까지 사랑하겠어  널 사랑하는 거지,AKMU (악뮤),항해
22,FAMOUS,ALLDAY PROJECT,FAMOUS
23,힙합보단 사랑  사랑보단 돈 (Feat. 베이식),노아주다 (noahjooda),M O T N O A H
24,HOME SWEET HOME (feat. 태양  대성),G-DRAGON,HOME SWEET HOME (feat. 태양  대성)
25,내게 사랑이 뭐냐고 물어본다면,로이킴,내게 사랑이 뭐냐고 물어본다면
26,404 (New Era),KiiiKiii (키키),Delulu Pack
27,Love Love Love (Feat. Yoong Jin Of Casker),에픽하이 (EPIK HIGH),Remapping The Human Soul
28,천상연,이창섭,천상연 (웹툰 '선녀외전' X 이창섭 (LEE CHANGSUB))
29,너에게 닿기를,10CM,너에게 닿기를
30,Whiplash,aespa,Whiplash - The 5th Mini Album
31,사랑은 봄비처럼...이별은 겨울비처럼...,임현정,All That Love
32,시작의 아이 ❍,박다혜  마크툽 (MAKTUB),시작의 아이 ❍ ハジマリのコ Starting With You : Red Moon
33,Mantra,제니 (JENNIE),Mantra
34,APT.,로제 (ROSÉ)  Bruno Mars,APT.
35,Number One Girl,K팝스타 시즌1 TOP 6,rosie
36,POWER,G-DRAGON,POWER
37,우리들의 블루스,임영웅,IM HERO
38,첫눈,EXO,12월의 기적 (Miracles in December) - The Special Album
39,UP (KARINA Solo),aespa,SYNK : PARALLEL LINE - Special Digital Single
40,이 방에 무지개를린 걸어요,카더가든,이 방에 무지개를린 걸어요
41,Supernatural,NewJeans,Supernatural
42,밤양갱,비비 (BIBI),밤양갱
43,눈이 오잖아(Feat.헤이즈),이무진,눈이 오잖아(Feat.헤이즈)
44,첫 만남은 계획대로 되지 않아,TWS (투어스),TWS 1st Mini Album 'Sparkling Blue'
45,나는 아픈 건 딱 질색이니까,(여자)아이들,2
46,Happy,DAY6 (데이식스),Fourever
47,Love wins all,아이유,The Winning
48,모래알갱이,임영웅,모래알갱이
49,이제 나만 믿어요,임영웅,내일은 미스터트롯 우승자 특전곡
50,Welcome to the Show,DAY6 (데이식스),Fourever
51,소나기,이클립스 (ECLIPSE),선재 업고 튀어 OST Part 1
52,Cherish (My Love),아일릿(ILLIT),I'LL LIKE YOU
53,다시 만나는 날 (Promise),PLAVE,ASTERUM : 134-1
54,한 페이지가 될 수 있게,DAY6 (데이식스),The Book of Us : Gravity
55,Magnetic,아일릿(ILLIT),SUPER REAL ME
56,녹아내려요,DAY6 (데이식스),Band Aid
57,Hug (포옹),RIIZE,Hug (포옹)
58,예뻐서,DAY6 (데이식스),Every DAY6 February
59,To. X,태연 (TAEYEON),To. X - The 5th Mini Album
60,온기,임영웅,온기
61,WAY 4 LUV,PLAVE,ASTERUM : 134-1
62,Home,임영웅,온기
63,You & Me,제니 (JENNIE),JENNIE Special Single [You & Me]
64,Bubble Gum,NewJeans,How Sweet
65,How Sweet,NewJeans,How Sweet
66,Attention,K팝스타 시즌1 TOP 6,New Jeans
67,Ditto,NewJeans,NewJeans 'OMG'
68,ETA,NewJeans,NewJeans 2nd EP 'Get Up'
69,클락션 (Klaxon),(여자)아이들,I SWAY
70,Love 119,RIIZE,Love 119
71,Small girl (feat. 도경수 (D.O.)),이영지,16 Fantasy
72,I AM,IVE (아이브),I've IVE
73,Armageddon,aespa,Armageddon - The 1st Album
74,청혼하지 않을 이유를 못 찾았어,이무진,청혼하지 않을 이유를 못 찾았어
75,Pump Up The Volume!,PLAVE,Pump Up The Volume!
76,사건의 지평선,윤하 (YOUNHA),YOUNHA 6th Album Repackage 'END THEORY : Final Edition'
77,인사,범진,인사
78,Drama,aespa,Drama - The 4th Mini Album
79,사랑했나봐,이창섭,사랑했나봐 (웹툰 '선녀외전' X 이창섭)
80,Supernova,aespa,Armageddon - The 1st Album
81,헤어지자 말해요,박재정,1집 Alone
82,빌려온 고양이 (Do the Dance),아일릿(ILLIT),bomb
83,비의 랩소디,임재현,비의 랩소디
84,Seven (feat. Latto) - Clean Ver.,정국,Seven (feat. Latto) - Clean Ver.
85,Dirty Work,aespa,Dirty Work
86,다시 만날 수 있을까,임영웅,IM HERO
87,MY LOVE(2025),이예은  아샤트리  전건호,MY LOVE(2025)
88,에피소드,이무진,에피소드
89,Hype Boy,NewJeans,NewJeans 1st EP 'New Jeans'
90,슬픈 초대장,순순희(지환),슬픈 초대장
91,이 밤을 빌려 말해요,PLAVE,이 밤을 빌려 말해요 (오늘 밤  세계에서 이 사랑이 사라진다 해도 X PLAVE)
92,가만히 눈을 감고,DK(디셈버),가만히 눈을 감고
93,고민중독,QWER,1st Mini Album 'MANITO'
94,body,다영 (DAYOUNG),gonna love me  right?
95,들꽃이 될게요,임영웅,IM HERO 2
96,DUET,지코 (ZICO)  Lilas,DUET
97,그댈 위한 멜로디,임영웅,IM HERO 2
98,LOOK AT ME,ALLDAY PROJECT,ALLDAY PROJECT
99,Daydream,웬디 (WENDY),이 사랑 통역 되나요? (Soundtrack from the Netflix Series)
100,WICKED,ALLDAY PROJECT,FAMOUS
