,word,n
0,가능,1
1,각지,1
2,간,1
3,감사,1
4,개,1
5,개발,1
6,개발시대,1
7,개장,1
8,개장식,1
9,것,1
10,경기,1
11,경기장,1
12,경제,1
13,경제적,1
14,계기,1
15,고,1
16,고용창출효과,1
17,고유,1
18,고장,1
19,공동위원장,1
20,공사,1
21,과학기술,1
22,관객,1
23,관계,1
24,관광,1
25,관문도시,1
26,관심,1
27,국가경제,1
28,국민,1
29,국민여러분,1
30,기간,1
31,기술,1
32,기술력,1
33,기적,1
34,기초질서,1
35,김운용,1
36,내년,1
37,내놔,1
38,년,1
39,노고,1
40,노력,1
41,다같,1
42,다양한,1
43,다짐,1
44,대,1
45,대표,1
46,대표팀,1
47,대한체육회장,1
48,대회,1
49,데,1
50,도로,1
51,도시,1
52,동반,1
53,동선,1
54,동안,1
55,들,1
56,등,1
57,땅,1
58,때,1
59,마음,1
60,만명,1
61,먹거리,1
62,면,1
63,모습,1
64,무엇,1
65,문화,1
66,문화관광,1
67,문화관광산업,1
68,문화산업,1
69,미국,1
70,바,1
71,발전,1
72,발표,1
73,복합도시,1
74,부가가치,1
75,분명,1
76,분발,1
77,비롯,1
78,빛,1
79,사각방패연,1
80,사랑,1
81,사장,1
82,삼성엔지니어링,1
83,삼위일체,1
84,삼창,1
85,상암동,1
86,상암지구,1
87,상징,1
88,생각,1
89,생산유발효과,1
90,생태환경,1
91,서울,1
92,서울시,1
93,서울시민,1
94,서울월드컵경기장은,1
95,선도자,1
96,선수단,1
97,선창,1
98,설계,1
99,성,1
100,성공,1
101,성공적,1
102,성과,1
103,성원,1
104,성원해,1
105,세계,1
106,세계각국,1
107,세계적,1
108,세계평화,1
109,소홀,1
110,손님들,1
111,손색,1
112,수,1
113,수십만명,1
114,수준,1
115,숙박시설,1
116,스웨덴,1
117,승리,1
118,시민,1
119,시장,1
120,신뢰감,1
121,안심,1
122,안전성,1
123,양인모,1
124,어디,1
125,억,1
126,여러분,1
127,역사상,1
128,열,1
129,예상,1
130,오늘,1
131,오염,1
132,외국,1
133,외국인,1
134,우리,1
135,우리나라,1
136,우수성,1
137,월드컵,1
138,위,1
139,위상,1
140,위협,1
141,유쾌,1
142,의미,1
143,이,1
144,이곳,1
145,이목,1
146,이미지,1
147,이미지와,1
148,이바,1
149,이번,1
150,이연택,1
151,이용,1
152,인간,1
153,인간중심,1
154,인구,1
155,인기,1
156,인상적,1
157,인프라,1
158,일,1
159,일대,1
160,자랑,1
161,자원봉사자,1
162,잠재력,1
163,저,1
164,저력,1
165,적극,1
166,적극적,1
167,전,1
168,전국,1
169,전세계,1
170,전세계인,1
171,전통,1
172,전통문화,1
173,접근성,1
174,정몽준,1
175,정보,1
176,정보화,1
177,정부,1
178,정비,1
179,정성,1
180,조성,1
181,조원,1
182,조직위,1
183,조형미,1
184,조화,1
185,존경,1
186,준비해,1
187,중앙정부,1
188,중요,1
189,지금,1
190,지방자치단체,1
191,지식,1
192,지식경제,1
193,지역,1
194,진심,1
195,집중,1
196,차질,1
197,참여,1
198,천,1
199,첨단,1
200,청결,1
201,최고,1
202,추구,1
203,축제,1
204,축하,1
205,치뤄낼,1
206,치안,1
207,치안당국,1
208,치하드,1
209,친애,1
210,친절,1
211,크로아티아,1
212,탈바꿈,1
213,통신,1
214,특색,1
215,파이팅,1
216,평화,1
217,프로그램,1
218,필요,1
219,하나,1
220,한강,1
221,한국,1
222,한국에서,1
223,한국의,1
224,합,1
225,합심협력,1
226,행복,1
227,협력,1
228,확고,1
229,확신,1
230,확충,1
231,환경,1
232,환영,1
233,황포돛배,1
234,훌륭,1
235,희망,1
236,힘,1
